 2.00  2600.  0.0  2.0  -0.17656635  -0.19449550  -0.18229288   0.02554124   0.20299603   1.62749022   1.76472913   2.37904049   1.99607432   1.72566084  -0.69728198  -1.08821220  -1.97011027  -1.79982236  -1.70398320   0.17812418   0.46608594   0.68671471   0.70388355   0.66086120   0.16513687   0.15186342   0.14316177   0.14804129   0.15458040   0.00004735   0.00014090   0.00043097   0.00240167   0.00406285
 2.50  2600.  0.0  2.0  -0.10127048  -0.13666360  -0.06032437   0.19607893   0.28884373   2.06179728   1.98812253   2.28494721   1.94940056   1.78363771  -1.49753039  -1.38873762  -1.99375045  -1.92510672  -1.94410400   0.46213871   0.49059775   0.70429513   0.71817098   0.73491859   0.13850828   0.12777899   0.11966816   0.12460374   0.13117643   0.00040526   0.00040564   0.00098500   0.00401890   0.00401389
 3.00  2600.  0.0  2.0  -0.02763239  -0.17176160  -0.08113948   0.11184785   0.32142883   2.23783483   2.20066238   2.14760603   2.26339071   1.93686926  -1.94448541  -1.60109760  -1.68704784  -2.23979467  -2.22988799   0.65854177   0.52641779   0.56796071   0.80348710   0.85009071   0.10236249   0.09721330   0.08976521   0.09409136   0.09803130   0.00108244   0.00045017   0.00057318   0.00251769   0.00400603
 3.50  2600.  0.0  2.0   0.07241709  -0.21388638   0.08540053   0.04521683   0.34368725   2.14930911   2.25217215   1.37946617   2.42900549   2.03500301  -1.95202742  -1.54721695  -0.66794729  -2.30718621  -2.36187093   0.68181089   0.47397294   0.18556060   0.79428884   0.89942814   0.07615963   0.07429253   0.06553738   0.07087340   0.07429253   0.00189675   0.00038874   0.00040642   0.00183976   0.00482296
 4.00  2600.  0.0  2.0  -0.03172460  -0.16646725   0.11145581   0.08157910   0.33458785   2.27425057   1.91516080   0.92867793   2.15202432   2.04507398  -1.92808693  -1.02053779  -0.05661731  -1.80750944  -2.28504348   0.65181223   0.25338235  -0.01073114   0.55984125   0.85144258   0.05424601   0.05300393   0.04949729   0.04949729   0.05382851   0.00151503   0.00012516   0.00053678   0.00069772   0.00494503
 4.50  2600.  0.0  2.0  -0.23491930  -0.11654065   0.13504371  -0.16218980   0.35006534   2.21175504   1.43336182   0.46714710   2.39295747   1.82620933  -1.41640101  -0.31730280   0.53632960  -1.75304207  -1.84270740   0.40188201  -0.01206444  -0.18566575   0.47647080   0.64097144   0.04021062   0.03874044   0.03931529   0.03931529   0.03931529   0.00030505   0.00014683   0.00036098   0.00023544   0.00267475
 5.00  2600.  0.0  2.0  -0.20081337  -0.11112820   0.32874063  -0.13965886   0.12679962   1.41018914   1.11328685  -0.15882925   2.03632461   2.05724363  -0.21410067   0.07916732   1.09505214  -1.18439014  -1.80358140  -0.02941089  -0.10824735  -0.31524843   0.23669441   0.56945878   0.02930375   0.02972528   0.02972528   0.02972528   0.03014781   0.00015238   0.00009964   0.00031750   0.00065100   0.00152815
 5.50  2600.  0.0  2.0  -0.06130596   0.01149641   0.63871708  -0.11608300   0.08773075   0.79665490   0.68492421  -0.83665669   1.80157997   1.81836738   0.35146140   0.35943868   1.47273026  -0.86188434  -1.30727106  -0.10648586  -0.09308359  -0.32532088   0.11251435   0.33794848   0.02144649   0.02302356   0.02302356   0.02333422   0.02333422   0.00006226   0.00019214   0.00248936   0.00062278   0.00063488
 6.00  2600.  0.0  2.0  -0.07641332   0.30892931   0.50671581  -0.08454483   0.18217455   1.12500318   0.09002463  -0.13269862   1.71249011   1.28778474  -0.29607658   0.57843440   0.31510004  -0.82490411  -0.55425106   0.22118361  -0.00445162   0.22035921   0.12449704   0.02120756   0.01691141   0.01798072   0.01798072   0.01798072   0.01798072   0.00011063   0.00225335   0.00227950   0.00071109   0.00089092
 0.00  2700.  0.0  2.0  -0.52434146  -0.45095457  -0.46103876  -0.70037915  -0.68459827   2.07896625   1.91124041   2.14503911   3.38408229   3.71966488  -1.12188567  -1.08143013  -1.00597258  -3.00880350  -3.61624428   0.41586329   0.52126672   0.21732802   1.20990786   1.41611284   0.38955902   0.34202046   0.30559242   0.31945700   0.34202046   0.00291553   0.00119820   0.00104132   0.00306555   0.00270096
