 5.50  2500.  0.0  2.0   0.27710743   0.18896417   0.10184074   0.07078325   0.19948593   0.23205277   0.05405308   1.55280926   1.66993790   1.30142918   1.64722515   1.29888069   0.60595671  -1.12729489  -1.14187190  -0.52113415  -1.32776379  -0.86255844  -0.04162780   0.32807406   0.29769934   0.06806951   0.41475637   0.25945802   0.02351219   0.02351219   0.02351219   0.02351219   0.02351219   0.02351219   0.00109449   0.00184471   0.00075975   0.00067513   0.00180347   0.00157697
 6.00  2500.  0.0  2.0   0.54369156   0.27564410   0.29038856   0.10941714   0.42105946   0.31692384  -0.40353713   1.41360213   1.19161705   1.36864301   1.03207555   1.13832645   0.99896425  -1.07592862  -0.69493796  -0.69360710  -0.71674266  -0.76953502  -0.22568419   0.32210042   0.14397266   0.13340551   0.20262910   0.23826461   0.01821197   0.01821197   0.01821197   0.01821197   0.01821197   0.01821197   0.00376391   0.00182390   0.00158239   0.00054153   0.00350633   0.00189444
 0.00  2600.  0.0  2.0  -0.58073670  -0.62853677  -0.77466336  -0.49108300  -1.05125713  -0.72980714   2.20108878   3.22777206   3.90909005   2.31157749   4.85788622   3.86078562  -1.16258295  -2.83678109  -3.62548719  -1.42138215  -4.76475068  -3.61781195   0.48655297   1.08742069   1.33182542   0.46502214   1.76016918   1.35580429   0.29659428   0.33711216   0.33711216   0.32863756   0.34179216   0.32863756   0.00411003   0.00207295   0.00370794   0.00088424   0.01371345   0.00315288
 0.50  2600.  0.0  2.0  -0.41665696  -0.40516269  -0.49766233  -0.47185920  -0.56483323  -0.51284156   1.81122925   2.51607366   3.12917928   2.50028467   3.55280268   3.25309244  -0.90454769  -1.99582151  -2.81647202  -1.74343330  -3.44469267  -2.98660034   0.47297363   0.75907445   1.05233781   0.62324831   1.30521030   1.14372380   0.23969832   0.27489287   0.27489287   0.26071234   0.27822287   0.26591656   0.00133262   0.00097931   0.00186267   0.00102690   0.00523586   0.00303662
 1.00  2600.  0.0  2.0  -0.27132714  -0.28744697  -0.31528145  -0.34298072  -0.29521967  -0.29475060   1.32910660   2.14268656   2.59949435   2.03197444   2.50522657   2.48463516  -0.39641862  -1.48582727  -2.20570121  -1.18710667  -2.10681332  -2.04529726   0.31975368   0.53654118   0.82443371   0.42038969   0.75668050   0.77621841   0.19350710   0.22277454   0.22277454   0.21661921   0.23045777   0.21857921   0.00048435   0.00046324   0.00151848   0.00012275   0.00087776   0.00134155
 1.50  2600.  0.0  2.0  -0.12145928  -0.04813285  -0.17954343  -0.17408519  -0.12871089  -0.08107196   0.96702497   1.42965419   2.07951486   1.75651647   2.17371553   1.76152199   0.00313037  -0.65827030  -1.59703389  -1.05975713  -1.77114979  -1.19133439   0.13357743   0.21995011   0.60437333   0.43064195   0.63478837   0.44823125   0.15005543   0.16606762   0.17058582   0.16045387   0.17058582   0.16606762   0.00012451   0.00083820   0.00040591   0.00031684   0.00081745   0.00095132
 2.00  2600.  0.0  2.0  -0.16807201   0.19622106   0.32085695   0.07136611   0.34013520   0.23939761   2.12408810   1.70978822   1.62932399   2.01747403   1.57497616   1.69839289  -1.60700439  -1.62988483  -1.73593821  -1.89550538  -1.69831021  -1.69554199   0.59540676   0.64005382   0.71161270   0.73332426   0.68521423   0.67394718   0.14316177   0.15186342   0.15186342   0.14804129   0.15458040   0.15186342   0.00059791   0.00469090   0.00875294   0.00340998   0.00870510   0.00629111
 2.50  2600.  0.0  2.0  -0.09625806   0.28835920   0.41755278   0.04687456   0.42726444   0.39101292   2.18936777   1.77161074   1.53798372   2.21003786   1.49852498   1.58706581  -1.77293233  -1.85572652  -1.73078012  -2.14787025  -1.72631188  -1.73784231   0.63262544   0.69773838   0.67968613   0.78421148   0.67479272   0.67446544   0.12063816   0.12887899   0.12887899   0.12777899   0.13117643   0.12777899   0.00102136   0.00459948   0.00737807   0.00216250   0.00681709   0.00701963
 3.00  2600.  0.0  2.0  -0.06472479   0.25591334   0.32770989   0.18583641   0.45145804   0.23862846   1.99780268   2.02148025   1.81751545   2.08084154   1.55597942   2.00273292  -1.45246592  -2.19773764  -2.00588266  -2.09540980  -1.83469363  -2.14508119   0.49029838   0.82215035   0.75801407   0.76815895   0.71146868   0.79859909   0.08976521   0.09721330   0.09721330   0.09409136   0.09803130   0.09721330   0.00068456   0.00332268   0.00390543   0.00303271   0.00466639   0.00314151
 3.50  2600.  0.0  2.0   0.00017904   0.20818886   0.37052529   0.11536987   0.23823895   0.29800525   1.51391964   2.23309853   1.79798418   2.21583025   2.09503398   1.97837977  -0.72855488  -2.41650805  -1.95820138  -2.12832746  -2.33152485  -2.13223133   0.20410071   0.89888346   0.72870772   0.75385601   0.87725846   0.79295770   0.06604688   0.07429253   0.07311038   0.07142490   0.07615963   0.07311038   0.00034845   0.00366385   0.00389506   0.00224037   0.00392158   0.00364459
 4.00  2600.  0.0  2.0   0.04518595   0.18892783   0.71002887   0.24489202   1.00015612   0.65432253   1.02849511   2.25084088   0.91382807   1.74365944   0.33254302   1.10179460  -0.05756118  -2.34223597  -0.93168170  -1.48697335  -0.51704968  -1.17212066  -0.02838850   0.85090133   0.32656585   0.49185161   0.21553174   0.43287849   0.04949729   0.05382851   0.04949729   0.04949729   0.04949729   0.04949729   0.00042023   0.00343042   0.00576838   0.00157426   0.01012821   0.00494714
 4.50  2600.  0.0  2.0   0.11680978   0.20155559   0.28759508   0.02926827   0.46388270   0.26267032   0.40573981   2.06397555   1.63473307   1.87933860   1.38966906   1.73284322   0.74986212  -1.96910043  -1.37436849  -1.32425214  -1.34450549  -1.55084943  -0.29407017   0.67485368   0.42133993   0.37736647   0.46258489   0.52253943   0.03874044   0.03931529   0.03931529   0.03931529   0.03931529   0.03931529   0.00033020   0.00166019   0.00123389   0.00046835   0.00243544   0.00148843
 5.00  2600.  0.0  2.0   0.18554713   0.07305775   0.10651844   0.02881267   0.20307360   0.14255577   0.01863154   2.15255192   1.90524226   1.56396217   1.85170019   1.64961468   1.10974411  -1.89105543  -1.50648943  -0.80482924  -1.64991477  -1.20488711  -0.35136457   0.61849989   0.44368946   0.16386402   0.54291388   0.35928303   0.02972528   0.03014781   0.03014781   0.02972528   0.03014781   0.03014781   0.00014580   0.00147293   0.00088250   0.00031447   0.00176855   0.00100900
 5.50  2600.  0.0  2.0   0.46417863   0.10669143   0.10185869   0.04710754   0.20570353   0.22742688  -0.68195508   1.87884002   1.82698478   1.38264483   1.72099358   1.17468181   1.64780918  -1.52059349  -1.37869464  -0.58233972  -1.43219828  -0.57318776  -0.46756441   0.48075745   0.39143415   0.09061879   0.45021252   0.11546672   0.02302356   0.02333422   0.02333422   0.02333422   0.02333422   0.02333422   0.00122297   0.00102379   0.00075893   0.00033266   0.00159727   0.00136640
 6.00  2600.  0.0  2.0   0.36553972   0.21840444   0.17610016   0.06646957   0.32333255   0.27399934   0.02763593   1.41658068   1.49719576   1.42495393   1.20257994   0.95789267   0.39203594  -0.97653063  -0.96984762  -0.72918967  -0.76537969  -0.33682491   0.14604787   0.28348484   0.23457993   0.16646640   0.18583697   0.03983712   0.01798072   0.01798072   0.01798072   0.01798072   0.01798072   0.01798072   0.00192280   0.00107931   0.00079792   0.00043577   0.00202321   0.00102010
 0.00  2700.  0.0  2.0  -0.60609801  -0.65169080  -0.87724347  -0.65450026  -0.91999849  -1.01117375   2.36530826   3.34058676   4.32851951   3.03324289   4.52809254   4.84746869  -1.41620715  -3.05614737  -4.21647498  -2.38732857  -4.55448573  -4.82752990   0.55718308   1.21391831   1.59716994   0.86640868   1.74178762   1.85106012   0.31230496   0.34202046   0.34202046   0.32726831   0.35622672   0.32726831   0.00384265   0.00249769   0.00506314   0.00281910   0.00706665   0.01022506
