 4.50  6500. -5.0  2.0   0.2879    0.3072    0.0068
 5.00  6500. -5.0  2.0   0.2710    0.3200    0.0080
 0.50  6750. -5.0  2.0   0.4930    0.1451    0.0003
 1.00  6750. -5.0  2.0   0.4913    0.1441    0.0003
 1.50  6750. -5.0  2.0   0.4806    0.1516    0.0001
 2.00  6750. -5.0  2.0   0.4801    0.1474    0.0001
 2.50  6750. -5.0  2.0   0.3184    0.2740    0.0072
 3.00  6750. -5.0  2.0   0.2996    0.2906    0.0074
 3.50  6750. -5.0  2.0   0.2979    0.2922    0.0068
 4.00  6750. -5.0  2.0   0.2922    0.2974    0.0065
 4.50  6750. -5.0  2.0   0.2851    0.3036    0.0064
 5.00  6750. -5.0  2.0   0.2731    0.3131    0.0069
 0.50  7000. -5.0  2.0   0.4512    0.1830    0.0006
 1.00  7000. -5.0  2.0   0.4569    0.1744    0.0006
 1.50  7000. -5.0  2.0   0.4579    0.1693    0.0005
 2.00  7000. -5.0  2.0   0.4496    0.1737    0.0002
 2.50  7000. -5.0  2.0   0.4504    0.1681    0.0001
 3.00  7000. -5.0  2.0   0.2940    0.2899    0.0075
 3.50  7000. -5.0  2.0   0.2827    0.2997    0.0072
 4.00  7000. -5.0  2.0   0.2811    0.3011    0.0067
 4.50  7000. -5.0  2.0   0.2781    0.3037    0.0064
 5.00  7000. -5.0  2.0   0.2692    0.3106    0.0066
 1.00  7250. -5.0  2.0   0.4135    0.2113    0.0013
 1.50  7250. -5.0  2.0   0.4224    0.1985    0.0011
 2.00  7250. -5.0  2.0   0.4251    0.1915    0.0007
 2.50  7250. -5.0  2.0   0.4198    0.1938    0.0003
 3.00  7250. -5.0  2.0   0.4224    0.1867    0.0002
 3.50  7250. -5.0  2.0   0.2715    0.3033    0.0080
 4.00  7250. -5.0  2.0   0.2662    0.3080    0.0075
 4.50  7250. -5.0  2.0   0.2668    0.3077    0.0068
 5.00  7250. -5.0  2.0   0.2618    0.3114    0.0067
 1.00  7500. -5.0  2.0   0.3742    0.2403    0.0025
 1.50  7500. -5.0  2.0   0.3794    0.2327    0.0023
 2.00  7500. -5.0  2.0   0.3905    0.2177    0.0018
