 4.00  5600.  0.0   0.53970  0.16673  0.07697  0.00444
 4.50  5600.  0.0   0.53613  0.16162  0.05989  0.00370
 5.00  5600.  0.0   0.50900  0.18378  0.04400  0.00353
 5.50  5600.  0.0   0.50115  0.18932  0.03230  0.00340
 6.00  5600.  0.0   0.49494  0.19558  0.02395  0.00338
 3.00  5700.  0.0   0.54466  0.19699  0.13790  0.00570
 3.50  5700.  0.0   0.53771  0.18032  0.10544  0.00506
 4.00  5700.  0.0   0.53203  0.16906  0.07763  0.00408
 4.50  5700.  0.0   0.52677  0.16656  0.06025  0.00359
 5.00  5700.  0.0   0.49578  0.19150  0.04424  0.00350
 5.50  5700.  0.0   0.48698  0.19765  0.03246  0.00341
 6.00  5700.  0.0   0.48085  0.20344  0.02406  0.00335
 3.00  5800.  0.0   0.53711  0.20280  0.13948  0.00544
 3.50  5800.  0.0   0.53306  0.18531  0.10718  0.00498
 4.00  5800.  0.0   0.52283  0.17449  0.07820  0.00404
 4.50  5800.  0.0   0.49346  0.19469  0.06060  0.00372
 5.00  5800.  0.0   0.48225  0.19976  0.04447  0.00346
 5.50  5800.  0.0   0.47294  0.20592  0.03261  0.00335
 6.00  5800.  0.0   0.46670  0.21149  0.02416  0.00331
 3.00  5900.  0.0   0.52946  0.20903  0.14058  0.00580
 3.50  5900.  0.0   0.52263  0.18920  0.10720  0.00485
 4.00  5900.  0.0   0.51508  0.17850  0.07872  0.00401
 4.50  5900.  0.0   0.48745  0.19796  0.06111  0.00347
 5.00  5900.  0.0   0.46997  0.20671  0.04469  0.00339
 5.50  5900.  0.0   0.46506  0.20974  0.03274  0.00319
 6.00  5900.  0.0   0.45406  0.21764  0.02428  0.00321
 3.00  6000.  0.0   0.52243  0.21405  0.14163  0.00569
 3.50  6000.  0.0   0.51613  0.19255  0.10793  0.00473
 4.00  6000.  0.0   0.50706  0.18335  0.07918  0.00415
 4.50  6000.  0.0   0.47214  0.20652  0.06126  0.00363
 5.00  6000.  0.0   0.45878  0.21247  0.04493  0.00336
 5.50  6000.  0.0   0.44842  0.21862  0.03294  0.00322
 6.00  6000.  0.0   0.44575  0.22143  0.02429  0.00315
 3.00  6100.  0.0   0.51690  0.21694  0.14268  0.00534
 3.50  6100.  0.0   0.51061  0.19691  0.10900  0.00463
 4.00  6100.  0.0   0.50305  0.18571  0.07974  0.00404
 4.50  6100.  0.0   0.46267  0.21177  0.06158  0.00375
 5.00  6100.  0.0   0.45161  0.21667  0.04510  0.00335
 5.50  6100.  0.0   0.43735  0.22439  0.03310  0.00325
 6.00  6100.  0.0   0.41371  0.24544  0.02440  0.00346
 3.00  6200.  0.0   0.50894  0.22443  0.14395  0.00565
 3.50  6200.  0.0   0.50194  0.20240  0.10948  0.00487
 4.00  6200.  0.0   0.49672  0.18815  0.08016  0.00386
 4.50  6200.  0.0   0.45300  0.21713  0.06193  0.00374
 5.00  6200.  0.0   0.44105  0.22211  0.04532  0.00331
 5.50  6200.  0.0   0.40977  0.24690  0.03324  0.00355
 6.00  6200.  0.0   0.39356  0.25711  0.02450  0.00371
 3.00  6300.  0.0   0.50279  0.22934  0.14550  0.00552
 3.50  6300.  0.0   0.49802  0.20385  0.11120  0.00439
 4.00  6300.  0.0   0.48867  0.19179  0.08069  0.00386
 4.50  6300.  0.0   0.44650  0.22083  0.06237  0.00360
 5.00  6300.  0.0   0.42904  0.22680  0.04573  0.00323
 5.50  6300.  0.0   0.39391  0.25535  0.03332  0.00387
 6.00  6300.  0.0   0.37980  0.26500  0.02464  0.00388
 3.00  6400.  0.0   0.49653  0.23455  0.14694  0.00546
 3.50  6400.  0.0   0.49237  0.20674  0.11190  0.00435
 4.00  6400.  0.0   0.48379  0.19432  0.08145  0.00395
 4.50  6400.  0.0   0.43773  0.22432  0.06288  0.00360
 5.00  6400.  0.0   0.42073  0.23156  0.04599  0.00340
 5.50  6400.  0.0   0.38022  0.26222  0.03368  0.00398
 6.00  6400.  0.0   0.36696  0.27190  0.02479  0.00398
 3.00  6500.  0.0   0.48959  0.24078  0.14813  0.00545
 3.50  6500.  0.0   0.48498  0.21277  0.11395  0.00432
 4.00  6500.  0.0   0.47812  0.19786  0.08234  0.00393
 4.50  6500.  0.0   0.43272  0.22695  0.06356  0.00355
 5.00  6500.  0.0   0.41369  0.23462  0.04636  0.00340
 5.50  6500.  0.0   0.37240  0.26596  0.03379  0.00399
 6.00  6500.  0.0   0.35677  0.27537  0.02494  0.00404
 3.00  6600.  0.0   0.48317  0.24548  0.14912  0.00511
 3.50  6600.  0.0   0.47939  0.21740  0.11440  0.00449
